20000000275;AL; JOÃO JOSÉ PEREIRA DE LYRA ;5578; PSD ;
20000000058;AL; JULIANA DOS SANTOS LIMA ;2820; PRTB ;
20000000541;AL; JULIO CESAR MARTINS DE CERQUEIRA ;1555; PMDB ;
20000000471;AL; LOANNE DE MIRANDA VASCONCELOS ;1023; PRB ;
20000000407;AL; LUANDA ROSA COSTA LINS ;3644; PTC ;
20000000128;AL; LUCAS COSTA MOREIRA CESAR BARBOSA ;2333; PPS ;
20000000195;AL; LUCIANA DA SILVA LIMA ;1144; PP ;
20000000060;AL; LUIZ ALBERTO ALVES TEIXEIRA ;2838; PRTB ;
20000000379;AL; LUIZ CARLOS GOMES MORAES ;4513; PSDB ;
20000000473;AL; MABEL TENORIO CAVALCANTE M. DE LIMA ;1044; PRB ;
20000000472;AL; MALBA TENORIO CAVANCANTE ;1033; PRB ;
20000000083;AL; MARCELO ALVES DA SILVA ;3311; PMN ;
20000000385;AL; MARCOS ANTONIO FERREIRA NUNES ;4555; PSDB ;
20000000160;AL; MARCOS ANTÔNIO VIEIRA DA SILVA ;2525; DEM ;
20000000271;AL; MARIA APARECIDA GERMANO DOS SANTOS ;4312; PV ;
20000000483;AL; MARIA BARREIROS DE ARAUJO MACHADO ;2346; PPS ;
20000000024;AL; MARIA DA GLÓRIA SANTOS OLIVEIRA ;5005; PSOL ;
20000000468;AL; MARIA DE FATIMA BRASILEIRO DANYLO ;4512; PSDB ;
20000000286;AL; MARIA DE FÁTIMA DOS SANTOS ;1512; PMDB ;
20000000446;AL; MARIA DO ROSÁRIO BARBOZA DA SILVA ;1033; PRB ;
20000000170;AL; MARIA FATIMA GALINA FORTES FERREIRA SANTIAGO ;1178; PP ;
20000000119;AL; MARIA LIGIA MININ DE LINS ;4099; PSB ;
20000000052;AL; MARIA SILVANA RODRIGUES SOARES ;2845; PRTB ;
20000000484;AL; MARILIA DA SILVA SANTOS ;2356; PPS ;
20000000287;AL; MARX BELTRÃO LIMA SIQUEIRA ;1515; PMDB ;
